year,ccode,country,regime,duration,collapse,hypart,democracy2,party2,sftgcode,coup,coup.1,predyr,postcw,pastcoup,infantmort,slowgrowth,civconc,regdur,regfail,party,anocracy,xconst,gdp,constraint,constraint2,party2,rev_party,xconst3,,
1971,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1972,0,0,NA,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1971,694,NA,NA,NA,NA,NA,0,NA,QAT,0,1,1972,0,0,NA,NA,0,NA,NA,NA,0,1,510259928.9,0,0,NA,NA,-2,,
1971,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1972,0,0,0.507728212,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1972,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1973,0,1,0.519407628,NA,1,NA,NA,NA,0,1,81203226.91,0,0,NA,NA,-2,,
1972,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1973,0,0,-0.317182059,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1972,694,NA,NA,NA,NA,NA,0,NA,QAT,1,0,1973,0,1,-0.13973932,NA,0,NA,NA,NA,0,1,793884362.6,0,0,NA,NA,-2,,
1972,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1973,0,0,0.562729522,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1973,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1974,0,1,0.542363737,NA,1,NA,NA,NA,0,1,94159862.71,0,0,NA,NA,-2,,
1973,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1974,0,1,-0.154735749,NA,0,NA,NA,NA,0,1,2401403164,0,0,NA,NA,-2,,
1973,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1974,0,0,0.589066123,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1974,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1975,0,0,0.566609939,NA,1,NA,NA,NA,0,1,104295643.4,0,0,NA,NA,-2,,
1974,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1975,0,1,-0.162016595,NA,0,NA,NA,NA,0,1,2512783991,0,0,NA,NA,-2,,
1974,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1975,0,0,0.607693158,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1975,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1976,0,0,0.576678013,NA,1,NA,NA,NA,0,1,103653049.9,0,0,NA,NA,-2,,
1975,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1976,0,0,-0.385920911,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1975,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1976,0,1,-0.185233669,NA,0,NA,NA,NA,0,1,3284301435,0,0,NA,NA,-2,,
1975,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1976,0,0,0.612186318,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1976,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1977,0,0,0.526222896,NA,1,NA,NA,NA,0,1,103987520.1,0,0,NA,NA,-2,,
1976,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1977,0,0,-0.482359517,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1976,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1977,0,1,-0.270848513,NA,0,NA,NA,NA,0,1,3617580064,0,0,NA,NA,-2,,
1976,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1977,0,0,0.554981417,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1977,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1978,0,0,0.550316605,NA,1,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1977,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1978,0,0,-0.507604547,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1977,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1978,0,0,-0.284215225,NA,0,NA,NA,NA,0,1,4052000453,0,0,NA,NA,-2,,
1977,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1978,0,0,0.572331068,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1978,411,NA,NA,NA,NA,NA,0,NA,EQG,0,1,1979,0,0,0.606303695,NA,1,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1978,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1979,0,0,-0.504906501,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1978,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1979,0,0,-0.268172657,NA,0,NA,NA,NA,0,1,5633000409,0,0,NA,NA,-2,,
1978,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1979,0,0,0.621866545,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1979,411,NA,NA,NA,NA,NA,0,NA,EQG,1,0,1980,0,1,0.638467083,NA,1,NA,NA,NA,0,1,50642880.87,0,0,NA,NA,-2,,
1979,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1980,0,0,-0.510687778,NA,0,NA,NA,NA,0,1,3072698346,0,0,NA,NA,-2,,
1979,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1980,0,0,-0.278806952,NA,0,NA,NA,NA,0,1,7829094485,0,0,NA,NA,-2,,
1979,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1980,0,0,0.645431708,NA,0,NA,NA,NA,0,1,135653289.9,0,0,NA,NA,-2,,
1980,110,NA,NA,NA,NA,NA,0,NA,GUY,0,0,1981,0,0,-0.124817578,1,0,NA,NA,NA,0,1,570357129.7,0,0,NA,NA,-2,,
1980,411,NA,NA,NA,NA,NA,0,NA,EQG,0,1,1981,0,1,0.684198903,NA,0,NA,NA,NA,0,1,36731422.86,0,0,NA,NA,-2,,
1980,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1981,0,0,-0.50512207,NA,0,NA,NA,NA,0,1,3467819353,0,0,NA,NA,-2,,
1980,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1981,0,0,-0.279078566,NA,0,NA,NA,NA,0,1,8661263504,0,0,NA,NA,-2,,
1980,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1981,0,0,0.682650516,NA,0,NA,NA,NA,0,1,146391643.1,0,0,NA,NA,-2,,
